"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"1014071";"28";"7";"1810";"240";"Niels R.";"";"";"Bruun";"Bogense";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 5 1/2 læst.";"";"";"";" "
"1014101";"28";"7";"1810";"241";"Jens P.";"";"";"Lind";"Helsingøer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 12 læst.";"";"";"";" "
"1014115";"29";"7";"1810";"242";"Hans";"";"";"Ruesen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 7 læster";"";"";"";" "
"1014130";"29";"7";"1810";"243";"Haagen";"";"";"Sommer";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 16 1/2 læst.";"";"";"";" "
"1014153";"29";"7";"1810";"0";"Haagen H.";"";"";"Lund";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 4 læster";"";"";"";" "
"1014169";"31";"7";"1810";"244";"Hans";"";"";"Olson";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 6 læster";"";"";"";" "
"1014175";"31";"7";"1810";"245";"Peter L.";"";"";"Petersen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Skibet drægtig 52 læster";"";"";"";" "
"1014227";"2";"8";"1810";"0";"Christian";"";"";"Becker";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 3 læster";"";"";"";" "
"1014243";"2";"8";"1810";"0";"Niels";"";"";"Hammer";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 1 1/2 læst";"";"";"";" "
"1014254";"3";"8";"1810";"246";"Clements";"";"";"Janssen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 10 læster";"";"";"";" "
"1014268";"3";"8";"1810";"0";"Soren";"";"";"Jensen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 6 læster";"";"";"";" "
"1014286";"4";"8";"1810";"247";"Lars";"";"";"Frostrup";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 10 1/2 læst";"";"";"";" "
"1014311";"4";"8";"1810";"248";"Hans D.";"";"";"Brandt";"Dramen";"";"";"";"";"";"";"";"Daler";"19 1/2";"Skilling";"15";"";"";"";"";"";"";"";"";"Daler";"20 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 13 læster";"";"";"";" "
"1014335";"7";"8";"1810";"249";"Niels R.";"";"";"Bruun";"Bogense";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 5 1/2 læst.";"";"";"";" "
"1014578";"7";"8";"1810";"0";"Anders";"";"";"Larsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 1 1/2 læst";"";"";"";" "
"1014582";"7";"8";"1810";"0";"Knud";"";"";"Clausen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 2 læster";"";"";"";" "
"1014628";"7";"8";"1810";"0";"And.";"";"";"Malmsteen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 1 1/2 læst.";"";"";"";" "
"1014640";"8";"8";"1810";"250";"Hans";"";"";"Thuesen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 7 læster";"";"";"";" "
"1014647";"8";"8";"1810";"0";"Jens P.";"";"";"Malsøe";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 2 læster";"";"";"";" "
"1014705";"9";"8";"1810";"251";"Hans C.";"";"";"Juul";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Skibet drægtig 44 1/2 læster";"";"";"";" "
"1014710";"9";"8";"1810";"0";"J. G.";"";"";"Hentze";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 4 læster";"";"";"";" "
"1014719";"11";"8";"1810";"252";"Jacob";"";"";"Petersen";"Svelvigen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 72 læster";"";"";"";" "
"1014739";"12";"8";"1810";"253";"Clemen";"";"";"Jansen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 10 læster";"";"";"";" "
"1014751";"13";"8";"1810";"0";"Hans";"";"";"Tangen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 3 læster";"";"";"";" "
"1014772";"14";"8";"1810";"254";"Anders";"";"";"Pedersen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 8 1/2 læst.";"";"";"";" "
"1014781";"14";"8";"1810";"255";"Anders";"";"";"Pedersen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Jagten drægtig 8 1/2 læst";"";"";"";" "
"1014793";"14";"8";"1810";"256";"Michael L.";"";"";"Scheime";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Skibet drægtig 22 1/2 læst.";"";"";"";" "
"1014805";"14";"8";"1810";"257";"Jacob";"";"";"Kettelsen";"Kiøbenhavn";"Føring";"Daler";"1 1/2";"Skilling";"2";"";"";"";"";"";"";"";"";"Daler";"38 1/2";"Skilling";"6";"";"";"Daler";"42 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"";"";"";"";" "
"1014812";"17";"8";"1810";"258";"Hans J.";"";"";"Schauer";"Kiøbenhavn";"Føring";"Daler";"1 1/2";"Skilling";"21";"";"";"";"";"";"";"";"";"Daler";"47 1/2";"Skilling";"6";"";"";"Daler";"51 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"";"";"";"";" "
"1014883";"17";"8";"1810";"259";"Lorents";"";"";"Christiansen";"Flensborg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"";"";"";"";" "
"1014891";"17";"8";"1810";"0";"A.";"";"";"Larsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 1 1/2 læst.";"";"";"";" "
"1014898";"17";"8";"1810";"0";"Jens";"";"";"Meilsøe";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 2 læster";"";"";"";" "
"1014902";"17";"8";"1810";"0";"Bernt";"";"";"Friderichsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Baaden drægtig 2 1/2 læst";"";"";"";" "
"1014917";"19";"8";"1810";"260";"Peder";"";"";"Jepsen";"Fielsted";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Skibet drægtig 40 1/2 læster";"";"";"";" "
"1014934";"19";"8";"1810";"261";"Ditlef A.";"";"";"Heuch";"Kragerøe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"";"";"";"";" "
"1014959";"21";"8";"1810";"262";"Bøye";"";"";"Hansen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"05-07-11";"289";"Skibet drægtig 65 læster";"";"";"";" "
