"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"1009946";"27";"9";"1814";"282";"Albert";"";"";"Surens";"Groningen";"Føring";"Daler";"1";"Skilling";"12";"";"";"Daler";"32 1/2";"Skilling";"6";"";"";"Daler";"31";"Skilling";"18";"";"";"Daler";"35";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"01-07-11";"290";"";"";"";"";" "
"1009968";"28";"9";"1814";"283";"Papke";"Egberts";"de";"Jonge";"Groningen";"Føring";"Skilling";"10";"";"";"";"";"Daler";"5 1/2";"Skilling";"22";"";"";"Daler";"5 1/2";"Skilling";"12";"";"";"Daler";"9 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"01-07-11";"290";"";"";"";"";" "
"1009982";"28";"9";"1814";"284";"Bernt";"";"de";"Jonge";"Ter Peckel";"Føring";"Skilling";"8";"";"";"";"";"Daler";"6";"Skilling";"20";"";"";"Daler";"6";"Skilling";"12";"";"";"Daler";"10";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"01-07-11";"290";"";"";"";"";" "
"1009996";"29";"9";"1814";"285";"A. J.";"";"de";"Haan";"De Lemmer";"Føring";"Daler";"5 1/2";"Skilling";"17";"";"";"Daler";"147";"Skilling";"23";"";"";"Daler";"141 1/2";"Skilling";"6";"";"";"Daler";"145 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"01-07-11";"290";"";"";"";"";" "
"1052950";"3";"5";"1814";"0";"Jurgen F.";"";"";"Holm";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"";"";"28-07-11";"290";"Baaden drægtig 1 1/2 læster";"";"";"";" "
"1052983";"5";"5";"1814";"7";"Søren";"";"";"Wulf";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"28-07-11";"290";"Skibet drægtig 62 læster";"";"";"";" "
"1053002";"5";"5";"1814";"8";"Jens M.";"";"";"Hansen";"Kiøbenhavn";"Føring";"Skilling";"6";"";"";"";"";"Daler";"3 1/2";"Skilling";"12";"";"";"Daler";"3 1/2";"Skilling";"6";"";"";"Daler";"7 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"28-07-11";"290";"";"";"";"";" "
"1054037";"30";"8";"1814";"904";"Thomas H.";"";"";"Hollander";"Embden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054042";"30";"8";"1814";"905";"B. Arend";"";"";"Bonn";"Embden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054052";"30";"8";"1814";"906";"Tønnes";"";"";"Voss";"Kirckdorff";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054072";"30";"8";"1814";"907";"Joach. Fr.";"";"";"Regeser";"Stettin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054081";"30";"8";"1814";"908";"Adam";"";"";"Pieters";"Anclam";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054091";"30";"8";"1814";"909";"Joachuim";"";"";"Pedro";"Lissabon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054101";"30";"8";"1814";"910";"Joh. Carl.";"";"";"Zander";"Dantzig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054124";"30";"8";"1814";"911";"Mathias";"";"";"Seeger";"Dantzig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054140";"30";"8";"1814";"912";"Carl. H.";"";"";"Brandt";"Memel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054155";"30";"8";"1814";"913";"Henny";"";"";"Dodt";"Pillau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054164";"30";"8";"1814";"914";"Hinr.";"";"de";"Jong";"Liebau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
"1054210";"30";"8";"1814";"915";"Peter";"";"";"Kruse";"Stettin";"";"";"";"";"";"";"";"Daler";"2";"Skilling";"12";"";"";"";"";"";"";"";"";"Daler";"4";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"29-07-11";"290";"";"";"";"";" "
