"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"969056";"26";"9";"1804";"1709";"Daniel";"";"";"Mallander";"Stockholm";"Føring";"Daler";"1 1/2";"Skilling";"18";"";"";"Daler";"48";"Skilling";"6";"";"";"Daler";"46";"Skilling";"12";"";"";"Daler";"50";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"01-06-11";"285";"";"";"";"";" "
"969305";"27";"9";"1804";"1715";"Mans";"";"";"Pehrson";"Torekø";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"Jagten drægtig 17 læster";"";"";"";" "
"969376";"27";"9";"1804";"1716";"Anders";"";"";"Wassing";"Marstrand";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"12";"";"";"";"";"";"";"";"";"Daler";"3";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"Jagten drægtig 16 læster";"";"";"";" "
"969419";"27";"9";"1804";"1717";"Johan";"";"";"Holm";"Stockholm";"Føring";"Daler";"6";"Skilling";"9";"";"";"Daler";"156 1/2";"Skilling";"15";"";"";"Daler";"150 1/2";"Skilling";"6";"";"";"Daler";"154 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969459";"27";"9";"1804";"1718";"Daniel";"";"";"Zetzell";"Hernøsand";"Føring";"Skilling";"1";"";"";"";"";"Daler";"1 1/2";"Skilling";"1";"";"";"Daler";"1 1/2";"";"";"";"";"Daler";"5 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969477";"27";"9";"1804";"1719";"Olof";"";"";"Hillmann junr.";"Gefle";"Føring";"Skilling";"5";"";"";"";"";"Daler";"3";"Skilling";"23";"";"";"Daler";"3";"Skilling";"18";"";"";"Daler";"7";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969498";"27";"9";"1804";"1720";"J. G.";"";"";"Hillerstrøm";"Stockholm";"Føring";"Daler";"1/2";"Skilling";"21";"";"";"Daler";"26";"Skilling";"15";"";"";"Daler";"25";"Skilling";"18";"";"";"Daler";"29";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969521";"27";"9";"1804";"1721";"Pehr";"";"";"Stahl";"Gothenborg";"Føring";"Daler";"1/2";"Skilling";"18";"";"";"Daler";"24";"";"";"";"";"Daler";"23";"Skilling";"6";"";"";"Daler";"27";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969549";"27";"9";"1804";"1722";"Peter";"";"";"Søderstrøm";"Gefle";"Føring";"Daler";"1";"Skilling";"9";"";"";"Daler";"30 1/2";"Skilling";"9";"";"";"Daler";"29 1/2";"";"";"";"";"Daler";"33 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969563";"27";"9";"1804";"1723";"Johan";"";"";"Siøsten";"Stockholm";"Føring";"Daler";"1 1/2";"Skilling";"5";"";"";"Daler";"42";"Skilling";"23";"";"";"Daler";"40 1/2";"Skilling";"18";"";"";"Daler";"44 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969622";"27";"9";"1804";"1724";"Peter";"";"";"Bromann";"Gefle";"Føring";"Daler";"2";"Skilling";"1";"";"";"Daler";"51 1/2";"Skilling";"19";"";"";"Daler";"49 1/2";"Skilling";"18";"";"";"Daler";"53 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969635";"27";"9";"1804";"1725";"George";"";"";"Lindgren";"Norkøping";"Føring";"Daler";"2";"Skilling";"6";"";"";"Daler";"54";"Skilling";"18";"";"";"Daler";"52";"Skilling";"12";"";"";"Daler";"56";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969652";"27";"9";"1804";"1726";"Nicolaus Gottfr.";"";"";"Evert";"Stralsund";"Føring";"Daler";"3";"Skilling";"14";"";"";"Daler";"85";"Skilling";"14";"";"";"Daler";"82";"";"";"";"";"Daler";"86";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969666";"27";"9";"1804";"1727";"Hinrich";"";"";"Thulin";"Stockholm";"Føring";"Daler";"3 1/2";"Skilling";"14";"";"";"Daler";"95";"Skilling";"14";"";"";"Daler";"91 1/2";"";"";"";"";"Daler";"95 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969708";"27";"9";"1804";"1728";"P. A.";"";"";"Furnbom";"Stockholm";"Føring";"Daler";"5";"Skilling";"18";"";"";"Daler";"137";"Skilling";"6";"";"";"Daler";"131 1/2";"Skilling";"12";"";"";"Daler";"135 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969744";"28";"9";"1804";"1729";"J.";"";"";"Larson";"Bastad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969771";"28";"9";"1804";"1730";"Nils";"";"";"Corfitson";"Kullen";"";"";"";"";"";"";"";"Skilling";"20";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"969831";"28";"9";"1804";"1731";"Nils";"";"";"Hogard";"Halmstad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"970481";"29";"10";"1804";"1934";"A. G.";"";"";"Liung";"Stockholm";"Føring";"Daler";"6";"Skilling";"7";"";"";"Daler";"155 1/2";"Skilling";"19";"";"";"Daler";"149 1/2";"Skilling";"12";"";"";"Daler";"153 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"970525";"29";"10";"1804";"1935";"Johan Samuel";"";"";"Volckmann";"Wolgast";"Føring";"Daler";"2";"Skilling";"6";"";"";"Daler";"56";"";"";"";"";"Daler";"53 1/2";"Skilling";"18";"";"";"Daler";"57 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
"970534";"29";"10";"1804";"1936";"Jacob";"";"";"Behrmann";"Stockholm";"Føring";"Daler";"7";"Skilling";"5";"";"";"Daler";"180";"Skilling";"5";"";"";"Daler";"173";"";"";"";"";"Daler";"177";"";"";"";"";"";"";"";"";"";"";"";"";"01-06-11";"286";"";"";"";"";" "
