"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"982695";"20";"4";"1806";"146";"Henrich";"";"";"Thomsen";"Kiøbenhavn";"Føring";"Daler";"13";"Skilling";"6";"";"";"Daler";"330";"";"";"";"";"Daler";"316 1/2";"Skilling";"18";"";"";"Rosenobel";"1";"Daler";"321";"Skilling";"18";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982705";"20";"4";"1806";"147";"Lars P.";"";"";"Dahl";"Kiøbenhavn";"Føring";"Daler";"19";"Skilling";"3";"";"";"Daler";"477 1/2";"Skilling";"3";"";"";"Daler";"458 1/2";"";"";"";"";"Daler";"462 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982732";"20";"4";"1806";"148";"Jens J.";"";"";"Styding";"Apenrade";"Føring";"Daler";"24 1/2";"";"";"";"";"Daler";"612 1/2";"Skilling";"12";"";"";"Daler";"588";"Skilling";"12";"";"";"Rosenobel";"1";"Daler";"592 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982757";"21";"4";"1806";"149";"Hans";"";"";"Tarkaldsen";"Mandahl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 7 læster";"";"";"";" "
"982774";"22";"4";"1806";"150";"Hans J.";"";"";"Borg";"Dragoe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 33 1/2 læster";"";"";"";" "
"982790";"22";"4";"1806";"151";"Peter O.";"";"";"Burøe";"Tonsberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 32 1/2 læster";"";"";"";" "
"982802";"22";"4";"1806";"152";"Niels O.";"";"";"Holm";"Christiania";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1 1/2";"";"";"";"";"";"";"";"";"";"Vide folio 3 nr. 23 Jens L. Arboe";"";"";"14-06-11";"287";"Skibet drægtig 33 1/2 læster";"";"";"";" "
"982827";"23";"4";"1806";"153";"Christopher";"";"";"Olsen";"Listeramt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 17 læster";"";"";"";" "
"982841";"23";"4";"1806";"154";"Joh. A.";"";"";"Jager";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 51 læster";"";"";"";" "
"982883";"23";"4";"1806";"155";"Aslag";"";"";"Aslagsen";"Flechefiord";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982892";"24";"4";"1806";"156";"Math.";"";"";"Staugaard";"Eggersund";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 17 læster";"";"";"";" "
"982901";"24";"4";"1806";"157";"Bent J.";"";"";"Birck";"Bergen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 27 læster";"";"";"";" "
"982915";"24";"4";"1806";"158";"Lieutenant Lorents";"";"";"Lorck";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982929";"24";"4";"1806";"159";"Casper H.";"";"";"Wulffsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982942";"24";"4";"1806";"160";"Abrah. P.";"";"";"Quale";"Fahrsund";"Føring";"Daler";"4";"Skilling";"22";"";"";"Daler";"112 1/2";"Skilling";"10";"";"";"Daler";"108";"Skilling";"12";"";"";"Daler";"112";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982961";"24";"4";"1806";"161";"Joh. G.";"";"";"Noack";"Flensborg";"Føring";"Daler";"9";"Skilling";"6";"";"";"Daler";"231";"";"";"";"";"Daler";"221 1/2";"Skilling";"18";"";"";"Rosenobel";"1";"Daler";"226";"Skilling";"18";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982985";"24";"4";"1806";"162";"Christian";"";"";"Jurgensen";"Norborg";"Føring";"Daler";"11";"Skilling";"8";"";"";"Daler";"281 1/2";"Skilling";"20";"";"";"Daler";"270 1/2";"Skilling";"12";"";"";"Daler";"274 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"982996";"24";"4";"1806";"163";"Hans L.";"";"";"Rollund";"Flensborg";"Føring";"Daler";"19 1/2";"Skilling";"12";"";"";"Daler";"496";"Skilling";"12";"";"";"Daler";"476 1/2";"";"";"";"";"Rosenobel";"1";"Daler";"481";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"983014";"25";"4";"1806";"164";"Mogens";"";"";"Christiansen";"Rønne";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 12 læster";"";"";"";" "
"983023";"25";"4";"1806";"165";"Jørgen";"";"";"Petersen";"Christiansund";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 30 1/2 læster";"";"";"";" "
"983033";"25";"4";"1806";"166";"Jurgen";"";"";"Mindelberg";"Norborg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 36 1/2 læster";"";"";"";" "
"983042";"25";"4";"1806";"167";"Abrah.";"";"";"Thoresen";"Thiømøe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 34 1/2 læster";"";"";"";" "
