"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"1031872";"27";"10";"1819";"1497";"Hans H.";"";"";"Ostberg";"-";"Føring";"Daler";"1/2";"Skilling";"8";"";"";"Daler";"17";"Skilling";"20";"";"";"Daler";"16 1/2";"Skilling";"12";"";"";"Daler";"20 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1031890";"27";"10";"1819";"1498";"J. M.";"";"";"Schutt";"Stockholm";"Føring";"Daler";"1";"Skilling";"6";"";"";"";"";"";"";"";"";"Daler";"28 1/2";"Skilling";"18";"";"";"Daler";"32 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1031903";"27";"10";"1819";"1499";"C. A.";"";"";"Sandin";"Stockholm";"Føring";"Daler";"1";"Skilling";"7";"";"";"Daler";"30 1/2";"Skilling";"1";"";"";"Daler";"29";"Skilling";"18";"";"";"Daler";"33";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1032028";"27";"10";"1819";"1500";"M. G.";"";"";"Tornquist";"Gefle";"Føring";"Daler";"1";"Skilling";"10";"";"";"";"";"";"";"";"";"Daler";"30";"Skilling";"12";"";"";"Daler";"34";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1032055";"27";"10";"1819";"1501";"C. G.";"";"";"Bochau";"Gothenborg";"Føring";"Daler";"1 1/2";"Skilling";"7";"";"";"Daler";"41";"Skilling";"19";"";"";"Daler";"39 1/2";"Skilling";"12";"";"";"Daler";"43 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1032082";"27";"10";"1819";"1502";"T. P.";"";"";"Hagstrøm";"Uddevalle";"Føring";"Daler";"1 1/2";"Skilling";"8";"";"";"";"";"";"";"";"";"Daler";"42 1/2";"Skilling";"6";"";"";"Daler";"46 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1032120";"27";"10";"1819";"1503";"O.";"";"";"Landgren";"Stockholm";"Føring";"Daler";"1 1/2";"Skilling";"11";"";"";"Daler";"45 1/2";"Skilling";"11";"";"";"Daler";"44";"";"";"";"";"Daler";"48";"";"";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1032148";"27";"10";"1819";"1504";"Lars D.";"";"";"Lonberg";"Westerwick";"Føring";"Daler";"1 1/2";"Skilling";"12";"";"";"Daler";"46";"";"";"";"";"Daler";"44";"Skilling";"12";"";"";"Daler";"48";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-07-11";"299";"";"";"";"";" "
"1033112";"27";"10";"1819";"1505";"Jack";"";"";"Fenger";"Stockholm";"Føring";"Daler";"7 1/2";"Skilling";"7";"";"";"Daler";"192";"Skilling";"19";"";"";"Daler";"184 1/2";"Skilling";"12";"";"";"Daler";"188 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"15-07-11";"299";"";"";"";"";" "
"1033240";"27";"10";"1819";"0";"Asal";"";"";"Olsson";"Strømstad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"";"";"15-07-11";"299";"Dr. 2 læster";"";"";"";" "
"1033507";"27";"10";"1819";"0";"Jonas";"";"";"Borggren";"Strømstad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"15-07-11";"299";"Drægtig 1 3/4 læster";"";"";"";" "
"1033526";"28";"10";"1819";"0";"B.";"";"";"Svendson";"Kongelf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"";"";"15-07-11";"299";"Dr. 2 1/2 læst";"";"";"";" "
