"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"814641";"25";"5";"1802";"979";"Daniel";"";"";"Tritt";"Rygenwalde";"Føring";"Daler";"1";"Skilling";"20";"";"";"Daler";"37";"Skilling";"14";"";"";"Daler";"35 1/2";"Skilling";"18";"";"";"Daler";"39 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814660";"25";"5";"1802";"980";"Jan J.";"";"";"Juster";"Embden";"Føring";"Daler";"1 1/2";"Skilling";"18";"";"";"Daler";"48";"";"";"";"";"Daler";"46";"Skilling";"6";"";"";"Daler";"50";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814745";"25";"5";"1802";"981";"Christ.";"";"";"Fehling";"Dierhagen";"Føring";"Daler";"1 1/2";"Skilling";"18";"";"";"Daler";"49";"";"";"";"";"Daler";"47";"Skilling";"6";"";"";"Daler";"51";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814759";"25";"5";"1802";"982";"Joh. R.";"";"";"Eisenberg";"Kønigsberg";"Føring";"Daler";"2";"";"";"";"";"Daler";"53";"";"";"";"";"Daler";"51";"";"";"";"";"Rosenobel";"1";"Daler";"55 1/2";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814766";"25";"5";"1802";"983";"Peter";"";"";"Fretwurst";"Dierhagen";"Føring";"Daler";"2";"Skilling";"12";"";"";"Daler";"58";"";"";"";"";"Daler";"55 1/2";"Skilling";"12";"";"";"Daler";"59 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814769";"25";"5";"1802";"984";"Roelff D.";"";"van";"Wyck";"Embden";"Føring";"Daler";"2";"Skilling";"12";"";"";"Daler";"58";"Skilling";"18";"";"";"Daler";"56";"Skilling";"6";"";"";"Daler";"60";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814771";"25";"5";"1802";"985";"Tjarck W.";"";"";"Groenwald";"Embden";"Føring";"Daler";"2";"Skilling";"16";"";"";"Daler";"60";"Skilling";"4";"";"";"Daler";"57 1/2";"Skilling";"12";"";"";"Daler";"61 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814776";"25";"5";"1802";"986";"Klaas J.";"";"";"Cust";"Kønigsberg";"Føring";"Daler";"2 1/2";"";"";"";"";"Daler";"62 1/2";"";"";"";"";"Daler";"60";"";"";"";"";"Rosenobel";"1";"Daler";"64 1/2";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814811";"25";"5";"1802";"987";"Teunis K.";"";"";"Kleyn";"Papenborg";"Føring";"Daler";"3";"Skilling";"9";"";"";"Daler";"80 1/2";"Skilling";"3";"";"";"Daler";"77";"Skilling";"18";"";"";"Daler";"81";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
"814821";"25";"5";"1802";"988";"Hillebrans";"";"";"Michgels";"Embden";"Føring";"Daler";"3";"Skilling";"18";"";"";"Daler";"85";"";"";"";"";"Daler";"81 1/2";"Skilling";"6";"";"";"Daler";"85 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"07-02-11";"281";"";"";"";"";" "
