"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"962818";"6";"7";"1805";"1838";"William";"";"";"Barchard";"Hull";"Føring";"Daler";"6";"Skilling";"15";"";"";"Daler";"160";"Skilling";"3";"";"";"Daler";"153 1/2";"Skilling";"12";"";"";"Daler";"157 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"962829";"6";"7";"1805";"1839";"John";"";"";"Galecliff";"Hull";"Føring";"Daler";"10";"";"";"";"";"";"";"";"";"";"";"Daler";"242";"Skilling";"18";"";"";"Daler";"246";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"962838";"6";"7";"1805";"1840";"George";"";"";"Fothergill";"Newcastle";"Føring";"Daler";"9 1/2";"";"";"";"";"Daler";"240 1/2";"";"";"";"";"Daler";"231";"";"";"";"";"Daler";"235";"";"";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"962851";"6";"7";"1805";"1841";"Thomas";"";"";"Read";"London";"Føring";"Daler";"12";"Skilling";"8";"";"";"Daler";"306 1/2";"Skilling";"8";"";"";"Daler";"294 1/2";"";"";"";"";"Daler";"298 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"962857";"7";"7";"1805";"1842";"William";"";"";"Stone";"Yarmouth";"Føring";"Skilling";"6";"";"";"";"";"Daler";"5";"Skilling";"18";"";"";"Daler";"5";"Skilling";"12";"";"";"Daler";"9";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"962957";"7";"7";"1805";"1843";"James";"";"";"Cable";"Dundee";"Føring";"Skilling";"15";"";"";"";"";"Daler";"9";"Skilling";"21";"";"";"Daler";"9";"Skilling";"6";"";"";"Daler";"13";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"962983";"7";"7";"1805";"1844";"Robert";"";"";"Watt";"Newcastle";"Føring";"Daler";"1/2";"Skilling";"2";"";"";"Daler";"13 1/2";"Skilling";"2";"";"";"Daler";"13";"";"";"";"";"Daler";"17";"";"";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"963022";"7";"7";"1805";"1845";"Alexander";"";"";"Meldrum";"Newcastle";"Føring";"Daler";"1/2";"Skilling";"10";"";"";"Daler";"19";"Skilling";"16";"";"";"Daler";"18 1/2";"Skilling";"6";"";"";"Daler";"22 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"963060";"7";"7";"1805";"1846";"John";"";"";"Taylor";"Whitehaven";"Føring";"Daler";"1 1/2";"Skilling";"13";"";"";"Daler";"44 1/2";"Skilling";"7";"";"";"Daler";"42 1/2";"Skilling";"18";"";"";"Daler";"46 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"963104";"7";"7";"1805";"1847";"Samuel";"";"";"Prenton";"Leverpoole";"Føring";"Daler";"1/2";"Skilling";"8";"";"";"Daler";"19 1/2";"Skilling";"8";"";"";"Daler";"19";"";"";"";"";"Daler";"23";"";"";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
"963124";"7";"7";"1805";"1848";"Richard";"";"";"Kneshaw";"Whitby";"Føring";"Daler";"1/2";"Skilling";"14";"";"";"Daler";"22 1/2";"Skilling";"2";"";"";"Daler";"21 1/2";"Skilling";"12";"";"";"Daler";"25 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"27-05-11";"287";"";"";"";"";" "
