"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"1087017";"19";"10";"1816";"718";"Hans G.";"";"";"Lund";"Drammen";"Føring";"Daler";"1/2";"Skilling";"19";"";"";"Daler";"23";"Skilling";"7";"";"";"Daler";"22";"Skilling";"12";"";"";"Daler";"26";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"17-08-11";"293";"";"";"";"";" "
"1093483";"15";"3";"1816";"21";"Jacob";"";"";"Jørgensen";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"22-08-11";"293";"Drægtig 12 læster";"";"";"";" "
"1093496";"15";"3";"1816";"22";"Lorents J.";"";"";"Broersen";"Norborg";"Føring";"Daler";"1 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"Daler";"41";"Skilling";"12";"";"";"Daler";"45";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"22-08-11";"293";"";"";"";"";" "
"1093511";"15";"3";"1816";"23";"Willads";"";"";"Bøysen";"Kiobenhavn";"Føring";"Daler";"6 1/2";"Skilling";"3";"";"";"Daler";"164 1/2";"Skilling";"21";"";"";"Daler";"158";"Skilling";"18";"";"";"Daler";"162";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"22-08-11";"293";"";"";"";"";" "
"1093532";"17";"3";"1816";"24";"Jochum A.";"";"";"Ipsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"22-08-11";"293";"";"";"";"";" "
"1093537";"17";"3";"1816";"25";"And. P.";"";"";"Schrader";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"22-08-11";"293";"";"";"";"";" "
"1093542";"17";"3";"1816";"26";"I. R.";"";"";"Lorentzen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"5 1/2";"Skilling";"18";"";"";"";"";"";"";"";"Vide folio 126 no. 440 Edmund Harris";"";"";"22-08-11";"293";"Drægtig 22 1/2 læst";"";"";"";" "
"1093555";"17";"3";"1816";"27";"Christian";"";"";"Thomsen";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"10";"";"";"";"";"";"";"";"";"";"Vide folio 56 no. 552 Chr. P. Lange";"";"";"22-08-11";"293";"";"";"";"";" "
"1093571";"20";"3";"1816";"28";"Tollaf T.";"";"";"Søestadt";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"22-08-11";"293";"";"";"";"";" "
"1093577";"20";"3";"1816";"29";"Claus M.";"";"";"Berg";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"22-08-11";"293";"";"";"";"";" "
"1093641";"7";"7";"1816";"286";"Jørgen";"";"";"Jørgensen";"Aarhuus";"Føring";"Daler";"3";"Skilling";"15";"";"";"Daler";"82 1/2";"Skilling";"21";"";"";"Daler";"79 1/2";"Skilling";"6";"";"";"Daler";"83 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"";"";"";"";" "
"1093664";"7";"7";"1816";"287";"Hans";"";"";"Adamsen";"Nyborg";"Føring";"Daler";"6 1/2";"Skilling";"14";"";"";"Daler";"171";"Skilling";"8";"";"";"Daler";"164";"Skilling";"18";"";"";"Daler";"168";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"";"";"";"";" "
"1093675";"29";"9";"1816";"572";"Jørgen";"";"";"Carlsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"Drægtig 25 læster";"";"";"";" "
"1093686";"8";"7";"1816";"288";"Niels L.";"";"";"Andersen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"Drægtig 17 1/2 læster";"";"";"";" "
"1093699";"8";"7";"1816";"289";"Jesper";"";"";"Petersen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"Drægtig 46 læster";"";"";"";" "
"1093710";"8";"7";"1816";"290";"Michel";"";"";"Olsen";"Rudkiøbing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"Drægtig 27 læster";"";"";"";" "
"1093713";"29";"9";"1816";"573";"Peter G.";"";"";"Beyer";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"";"";"";"";" "
"1093728";"8";"7";"1816";"291";"G. C. F.";"";"";"Knudsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"";"";"";"";" "
"1093742";"8";"7";"1816";"292";"Ole";"";"";"Ericksen";"Skagen";"Føring";"Skilling";"6";"";"";"";"";"Daler";"3";"Skilling";"18";"";"";"Daler";"3";"Skilling";"12";"";"";"Daler";"4";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"Drægtig 7 læster";"";"";"";" "
"1093743";"29";"9";"1816";"574";"A. N.";"";"";"Rick";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"";"";"";"";" "
"1093753";"29";"9";"1816";"575";"Falle";"";"";"Nielsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"";"";"";"23-08-11";"293";"";"";"";"";" "
