"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"805124";"1";"1";"1801";"1";"Johan M.";"";"";"Welgenhoff";"Hamborg";"Føring";"Skilling";"15";"";"";"";"";"Daler";"7 1/2";"Skilling";"21";"";"";"";"";"";"";"";"";"Daler";"11 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805156";"8";"1";"1801";"2";"Christian";"";"";"Harder";"Rostock";"Føring";"Skilling";"14";"";"";"";"";"Daler";"7 1/2";"Skilling";"2";"";"";"Daler";"7";"Skilling";"12";"";"";"Daler";"10";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805192";"10";"1";"1801";"3";"Christopher";"";"";"Biegel";"Rostock";"Føring";"Daler";"1 1/2";"Skilling";"20";"";"";"Daler";"50";"Skilling";"20";"";"";"Daler";"48 1/2";"";"";"";"";"Rosenobel";"2";"Daler";"54 1/2";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805209";"15";"1";"1801";"4";"Peter";"";"";"Busch";"Rostock";"Føring";"Daler";"1/2";"Skilling";"20";"";"";"Daler";"23";"Skilling";"20";"";"";"Daler";"22 1/2";"";"";"";"";"Daler";"27 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805219";"15";"1";"1801";"5";"Hans";"";"";"Jurges";"Rostock";"Føring";"Daler";"1";"Skilling";"17";"";"";"Daler";"36 1/2";"Skilling";"5";"";"";"Daler";"35";"Skilling";"12";"";"";"Rosenobel";"1";"Daler";"40 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805230";"20";"1";"1801";"6";"Peter";"";"";"Gerdes";"Rostock";"Føring";"Daler";"1 1/2";"Skilling";"20";"";"";"Daler";"50";"Skilling";"20";"";"";"Daler";"48 1/2";"";"";"";"";"Rosenobel";"1";"Daler";"54";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805240";"31";"1";"1801";"7";"Johan C. H.";"";"";"Dondorff";"Rostock";"Føring";"Skilling";"4";"";"";"";"";"Daler";"3 1/2";"Skilling";"16";"";"";"Daler";"3 1/2";"Skilling";"12";"";"";"Daler";"6 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805249";"7";"2";"1801";"8";"Jochim P.";"";"";"Gath";"Rostock";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"3";"";"";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
"805253";"7";"2";"1801";"9";"Jochim";"";"";"Studemann";"Rostock";"Føring";"Daler";"2";"Skilling";"12";"";"";"Daler";"57 1/2";"Skilling";"6";"";"";"Daler";"55";"Skilling";"18";"";"";"Rosenobel";"1";"Daler";"60 1/2";"Skilling";"18";"";"";"";"";"";"Stuk Deense tekst";"";"";"26-01-11";"281";"";"";"";"";" "
"805260";"2";"3";"1801";"10";"Hans Peter";"";"";"Maack";"Rostock";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"3";"";"";"";"";"";"";"";"";"";"";"";"";"26-01-11";"281";"";"";"";"";" "
