"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"1016705";"2";"1";"1809";"1";"Hans J.";"";"";"Petersen";"Rækevig i Island";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"";"";"";"";" "
"1016742";"12";"3";"1809";"2";"Peter N.";"";"";"Johansen";"Sønderborg";"Føring";"Skilling";"22";"";"";"";"";"Daler";"11 1/2";"Skilling";"10";"";"";"Daler";"11";"Skilling";"12";"";"";"Daler";"11 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"Skibet drægtig 18 læster";"";"";"";" "
"1016757";"21";"3";"1809";"3";"Niels";"";"";"Michelsen";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"";"";"";"";" "
"1016774";"31";"3";"1809";"4";"Peter";"";"";"Knudsen";"Kiobenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"4";"";"";"";"";"";"";"";"";"";"Vide folio 33 nr. 25, Niels Muhetsen af Khavn";"";"";"06-07-11";"289";"";"";"";"";" "
"1016813";"8";"4";"1809";"5";"Thønnes";"";"";"Raaen";"Christiansand";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"Jagten drægtig 7 læster";"";"";"";" "
"1016826";"8";"4";"1809";"6";"Thorius";"";"";"Christensen";"Christiansand";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"Jagten drægtig 7 læster";"";"";"";" "
"1016834";"20";"4";"1809";"7";"Jacob";"";"";"Corinth";"Sønderborg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"Jagten drægtig 21 1/2 læst.";"";"";"";" "
"1016846";"24";"4";"1809";"8";"Christen";"";"";"Kielsen";"Island";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"";"";"";"";" "
"1016853";"24";"4";"1809";"9";"Niels";"";"";"Knudsen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"";"";"";"";" "
"1016857";"28";"4";"1809";"10";"Tønnes";"";"";"Roe";"Christiansand";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"";"";"06-07-11";"289";"Jagten drægtig 7 læster";"";"";"";" "
